title,description,error_code,bug_category,bug_domain,tech_stack,severity,environment,developer_role,root_cause,suggested_fix,explanation,created_at
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,400.0,backend logic bug,mobile,angular,critical,staging,qa engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a qa engineer due to its nature.,2025-06-03
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,400.0,cloud configuration bug,data,spring boot,high,development,qa engineer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a qa engineer due to its nature.,2025-03-21
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,401.0,authentication bug,mobile,azure,critical,staging,security engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a security engineer due to its nature.,2025-11-02
ui bug detected in system,this issue relates to a ui bug occurring in the application.,401.0,ui bug,cloud,mongodb,critical,development,frontend developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a frontend developer due to its nature.,2025-02-03
memory leak detected in system,this issue relates to a memory leak occurring in the application.,400.0,memory leak,devops,mongodb,medium,development,frontend developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a frontend developer due to its nature.,2025-08-02
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,404.0,authentication bug,devops,django,high,production,backend developer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a backend developer due to its nature.,2025-03-20
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,503.0,deployment bug,devops,spring boot,medium,staging,frontend developer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a frontend developer due to its nature.,2025-07-07
logging bug detected in system,this issue relates to a logging bug occurring in the application.,404.0,logging bug,mobile,mysql,critical,development,cloud engineer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a cloud engineer due to its nature.,2026-01-22
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,401.0,cloud configuration bug,web development,react,critical,staging,security engineer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a security engineer due to its nature.,2025-05-07
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,500.0,deployment bug,mobile,laravel,medium,production,security engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a security engineer due to its nature.,2025-07-16
api bug detected in system,this issue relates to a api bug occurring in the application.,502.0,api bug,web development,django,low,development,cloud engineer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-05-23
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,400.0,concurrency bug,web development,spring boot,high,development,qa engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a qa engineer due to its nature.,2025-02-17
api bug detected in system,this issue relates to a api bug occurring in the application.,404.0,api bug,backend systems,react,high,development,full-stack developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a full-stack developer due to its nature.,2026-01-24
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,503.0,authentication bug,backend systems,react,high,staging,security engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a security engineer due to its nature.,2025-12-14
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,502.0,backend logic bug,mobile,docker,low,production,security engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a security engineer due to its nature.,2025-04-20
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,400.0,deployment bug,devops,aws,medium,development,qa engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a qa engineer due to its nature.,2025-12-23
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,500.0,concurrency bug,data,flask,low,production,mobile developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a mobile developer due to its nature.,2025-11-10
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,404.0,deployment bug,cloud,laravel,critical,development,backend developer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a backend developer due to its nature.,2026-01-28
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,400.0,ci/cd bug,data,postgresql,high,development,qa engineer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a qa engineer due to its nature.,2025-05-20
ui bug detected in system,this issue relates to a ui bug occurring in the application.,400.0,ui bug,web development,aws,high,development,security engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a security engineer due to its nature.,2025-06-27
api bug detected in system,this issue relates to a api bug occurring in the application.,502.0,api bug,devops,docker,high,development,qa engineer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a qa engineer due to its nature.,2025-11-17
memory leak detected in system,this issue relates to a memory leak occurring in the application.,404.0,memory leak,devops,aws,low,staging,cloud engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a cloud engineer due to its nature.,2025-10-19
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,400.0,concurrency bug,devops,vue,critical,staging,frontend developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a frontend developer due to its nature.,2025-05-12
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,500.0,frontend routing bug,devops,gcp,low,staging,frontend developer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a frontend developer due to its nature.,2025-11-06
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,502.0,monitoring bug,devops,docker,low,staging,full-stack developer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-02-23
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,500.0,monitoring bug,cloud,mongodb,low,staging,security engineer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a security engineer due to its nature.,2025-05-01
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,500.0,authorization bug,mobile,mongodb,low,production,frontend developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a frontend developer due to its nature.,2025-12-31
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,403.0,monitoring bug,web development,angular,critical,staging,full-stack developer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-06-21
database bug detected in system,this issue relates to a database bug occurring in the application.,403.0,database bug,data,laravel,medium,development,security engineer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a security engineer due to its nature.,2026-01-04
ui bug detected in system,this issue relates to a ui bug occurring in the application.,500.0,ui bug,devops,azure,critical,staging,security engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a security engineer due to its nature.,2025-05-15
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,400.0,backend logic bug,devops,mongodb,low,production,full-stack developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-07-19
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,401.0,concurrency bug,web development,react,low,staging,data engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a data engineer due to its nature.,2025-05-09
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,400.0,frontend routing bug,devops,laravel,high,production,mobile developer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a mobile developer due to its nature.,2025-08-19
api bug detected in system,this issue relates to a api bug occurring in the application.,502.0,api bug,devops,django,high,development,backend developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a backend developer due to its nature.,2026-01-12
logging bug detected in system,this issue relates to a logging bug occurring in the application.,500.0,logging bug,backend systems,gcp,medium,development,data engineer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a data engineer due to its nature.,2025-10-02
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,401.0,cloud configuration bug,devops,postgresql,critical,production,data engineer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a data engineer due to its nature.,2025-06-22
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,502.0,ci/cd bug,mobile,vue,critical,development,security engineer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a security engineer due to its nature.,2025-05-16
memory leak detected in system,this issue relates to a memory leak occurring in the application.,404.0,memory leak,cloud,docker,high,production,backend developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a backend developer due to its nature.,2025-05-25
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,500.0,frontend routing bug,web development,postgresql,critical,development,mobile developer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a mobile developer due to its nature.,2025-06-06
ci/cd bug detected in system,this issue relates to a ci/cd bug occurring in the application.,500.0,ci/cd bug,web development,gcp,low,production,qa engineer,misconfiguration or logic issue related to ci/cd bug,review and fix the ci/cd bug according to best practices,this bug requires a qa engineer due to its nature.,2025-12-03
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,400.0,authorization bug,data,mysql,medium,development,mobile developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a mobile developer due to its nature.,2025-02-11
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,502.0,frontend routing bug,mobile,postgresql,critical,development,data engineer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a data engineer due to its nature.,2025-09-25
frontend routing bug detected in system,this issue relates to a frontend routing bug occurring in the application.,403.0,frontend routing bug,mobile,postgresql,medium,development,devops engineer,misconfiguration or logic issue related to frontend routing bug,review and fix the frontend routing bug according to best practices,this bug requires a devops engineer due to its nature.,2025-09-03
performance bug detected in system,this issue relates to a performance bug occurring in the application.,401.0,performance bug,backend systems,vue,high,development,cloud engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-05-01
performance bug detected in system,this issue relates to a performance bug occurring in the application.,500.0,performance bug,backend systems,node.js,medium,staging,qa engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a qa engineer due to its nature.,2025-04-23
security vulnerability detected in system,this issue relates to a security vulnerability occurring in the application.,503.0,security vulnerability,web development,react,critical,development,mobile developer,misconfiguration or logic issue related to security vulnerability,review and fix the security vulnerability according to best practices,this bug requires a mobile developer due to its nature.,2025-11-25
ui bug detected in system,this issue relates to a ui bug occurring in the application.,503.0,ui bug,mobile,aws,low,staging,frontend developer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a frontend developer due to its nature.,2025-12-08
memory leak detected in system,this issue relates to a memory leak occurring in the application.,401.0,memory leak,backend systems,flask,medium,development,backend developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a backend developer due to its nature.,2025-09-18
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,503.0,backend logic bug,web development,gcp,low,development,full-stack developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-11-22
authentication bug detected in system,this issue relates to a authentication bug occurring in the application.,401.0,authentication bug,data,node.js,critical,development,devops engineer,misconfiguration or logic issue related to authentication bug,review and fix the authentication bug according to best practices,this bug requires a devops engineer due to its nature.,2025-04-01
memory leak detected in system,this issue relates to a memory leak occurring in the application.,400.0,memory leak,cloud,node.js,medium,production,devops engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a devops engineer due to its nature.,2025-07-11
api bug detected in system,this issue relates to a api bug occurring in the application.,403.0,api bug,cloud,postgresql,medium,development,devops engineer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a devops engineer due to its nature.,2025-08-13
logging bug detected in system,this issue relates to a logging bug occurring in the application.,503.0,logging bug,cloud,spring boot,medium,production,mobile developer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a mobile developer due to its nature.,2026-01-10
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,400.0,concurrency bug,devops,kubernetes,high,production,qa engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a qa engineer due to its nature.,2025-10-26
api bug detected in system,this issue relates to a api bug occurring in the application.,500.0,api bug,web development,azure,critical,production,cloud engineer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-06-19
authorization bug detected in system,this issue relates to a authorization bug occurring in the application.,403.0,authorization bug,web development,spring boot,low,development,frontend developer,misconfiguration or logic issue related to authorization bug,review and fix the authorization bug according to best practices,this bug requires a frontend developer due to its nature.,2025-12-21
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,400.0,deployment bug,mobile,angular,critical,development,frontend developer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a frontend developer due to its nature.,2025-11-06
cloud configuration bug detected in system,this issue relates to a cloud configuration bug occurring in the application.,500.0,cloud configuration bug,devops,azure,medium,staging,qa engineer,misconfiguration or logic issue related to cloud configuration bug,review and fix the cloud configuration bug according to best practices,this bug requires a qa engineer due to its nature.,2025-11-07
ui bug detected in system,this issue relates to a ui bug occurring in the application.,502.0,ui bug,mobile,kubernetes,high,production,security engineer,misconfiguration or logic issue related to ui bug,review and fix the ui bug according to best practices,this bug requires a security engineer due to its nature.,2025-03-17
database bug detected in system,this issue relates to a database bug occurring in the application.,401.0,database bug,web development,docker,critical,development,full-stack developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-11-20
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,502.0,concurrency bug,backend systems,azure,low,production,mobile developer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a mobile developer due to its nature.,2025-09-14
performance bug detected in system,this issue relates to a performance bug occurring in the application.,502.0,performance bug,mobile,react,medium,staging,data engineer,misconfiguration or logic issue related to performance bug,review and fix the performance bug according to best practices,this bug requires a data engineer due to its nature.,2025-09-29
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,403.0,backend logic bug,devops,aws,critical,staging,mobile developer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a mobile developer due to its nature.,2025-11-12
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,503.0,deployment bug,mobile,flask,high,staging,qa engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a qa engineer due to its nature.,2025-12-20
memory leak detected in system,this issue relates to a memory leak occurring in the application.,503.0,memory leak,backend systems,vue,critical,staging,frontend developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a frontend developer due to its nature.,2025-05-28
memory leak detected in system,this issue relates to a memory leak occurring in the application.,404.0,memory leak,web development,flask,high,development,full-stack developer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a full-stack developer due to its nature.,2025-12-10
memory leak detected in system,this issue relates to a memory leak occurring in the application.,502.0,memory leak,devops,docker,high,staging,devops engineer,misconfiguration or logic issue related to memory leak,review and fix the memory leak according to best practices,this bug requires a devops engineer due to its nature.,2025-05-26
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,500.0,backend logic bug,devops,django,medium,staging,data engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a data engineer due to its nature.,2025-11-07
deployment bug detected in system,this issue relates to a deployment bug occurring in the application.,403.0,deployment bug,mobile,angular,medium,production,data engineer,misconfiguration or logic issue related to deployment bug,review and fix the deployment bug according to best practices,this bug requires a data engineer due to its nature.,2025-09-01
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,401.0,backend logic bug,web development,aws,low,production,data engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a data engineer due to its nature.,2025-04-07
monitoring bug detected in system,this issue relates to a monitoring bug occurring in the application.,502.0,monitoring bug,backend systems,react,low,production,backend developer,misconfiguration or logic issue related to monitoring bug,review and fix the monitoring bug according to best practices,this bug requires a backend developer due to its nature.,2025-05-29
concurrency bug detected in system,this issue relates to a concurrency bug occurring in the application.,400.0,concurrency bug,data,angular,critical,development,devops engineer,misconfiguration or logic issue related to concurrency bug,review and fix the concurrency bug according to best practices,this bug requires a devops engineer due to its nature.,2025-04-08
database bug detected in system,this issue relates to a database bug occurring in the application.,503.0,database bug,data,mysql,high,development,devops engineer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a devops engineer due to its nature.,2026-01-17
database bug detected in system,this issue relates to a database bug occurring in the application.,503.0,database bug,mobile,mysql,critical,staging,full-stack developer,misconfiguration or logic issue related to database bug,review and fix the database bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-10-05
api bug detected in system,this issue relates to a api bug occurring in the application.,404.0,api bug,backend systems,kubernetes,medium,production,full-stack developer,misconfiguration or logic issue related to api bug,review and fix the api bug according to best practices,this bug requires a full-stack developer due to its nature.,2025-09-27
backend logic bug detected in system,this issue relates to a backend logic bug occurring in the application.,404.0,backend logic bug,devops,laravel,medium,development,cloud engineer,misconfiguration or logic issue related to backend logic bug,review and fix the backend logic bug according to best practices,this bug requires a cloud engineer due to its nature.,2025-10-20
logging bug detected in system,this issue relates to a logging bug occurring in the application.,403.0,logging bug,data,laravel,low,development,devops engineer,misconfiguration or logic issue related to logging bug,review and fix the logging bug according to best practices,this bug requires a devops engineer due to its nature.,2025-06-23
